1420665737,Abandoned connection cleanup thread,java.lang.Object.wait(Native Method),com.mysql.jdbc.AbandonedConnectionCleanupThread.run(AbandonedConnectionCleanupThread.java:41),(a java.lang.ref.ReferenceQueue$Lock)
1420665758,hybrisHTTP3653,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3690,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3714,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3759,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3815,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3822,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3828,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3851,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3899,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3916,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3926,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3930,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3942,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3945,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3954,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3959,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP3985,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4004,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4011,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4015,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4018,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4021,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4022,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4024,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4025,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4028,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4029,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4030,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4034,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4035,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4036,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4037,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4039,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4040,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4041,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4042,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4046,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4047,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4054,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4057,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4059,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4062,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4065,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4066,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4067,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4068,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4073,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4075,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4079,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4080,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4081,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4082,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4086,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4087,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4088,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4089,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4090,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4091,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4092,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4097,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4100,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4101,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4102,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4103,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4107,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4108,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4109,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4110,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4111,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4112,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4113,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4114,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665722,hybrisHTTP4116,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),,
1420665758,hybrisHTTP4116,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4117,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4119,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
